Time	Nup107-Mean	Nup107-STD	Nup93-Mean	Nup93-STD	Nup205-Mean	Nup205-STD	Nup62-Mean	Nup62-STD	SEH1-MEAN	SEH1-STD	Nup188-Mean	Nup188-STD
84	30.52511229	3.86005759	47.27423053	3.469758337	16.17947775	2.345126559	44.45726206	5.394993677	29.99355299	3.836657054	16.99476805	1.365818875
84.5	31.31625141	3.508044236	48.64622202	3.303533047	15.66602788	2.406169884	45.74732773	5.475516597	29.91296691	3.426154985	16.2316288	0.875888962
85	30.96836752	3.514297779	47.98155427	2.965902549	16.49282106	2.45755437	47.31947358	5.579991288	29.95788008	3.39327452	16.22142723	1.670694904
85.5	30.96972774	3.515775121	48.28564125	3.337135547	16.04465228	2.403302783	46.34836267	5.357126814	28.8251196	3.836483875	16.41659849	1.406093411
86	31.52351176	4.252368894	49.10160968	2.852164219	16.01080841	1.889485789	46.47747429	5.810091065	29.01096459	3.622400463	16.40748582	1.56132639
86.5	31.8723001	3.229781302	47.7991032	3.735941994	16.07161727	2.190056802	47.05005878	3.966605664	28.87343531	3.159334187	15.90997113	1.734802591
87	32.06887921	4.308882478	47.04982304	3.0294897	15.863015	2.357892737	46.70941979	5.254551975	27.77938752	3.837211396	17.20692359	1.136469532
87.5	33.6409782	5.729640455	48.71884456	3.87694632	15.79756534	1.623640804	46.70827668	4.552966506	28.94057986	2.569459423	16.43175141	1.868392134
88	33.65278455	5.236561162	48.03871437	3.179780355	15.90835152	2.340503799	46.4339979	4.750053905	27.87262121	2.494015466	16.19715165	1.457456227
88.5	34.38712637	7.10424678	47.49100769	4.158008682	15.82490682	1.810447021	45.69349872	6.100009894	28.21542953	2.888633372	16.10216438	1.010795545
89	33.70824638	5.414696492	47.83111335	4.345513497	15.46723543	2.287023004	46.0195262	4.99045542	29.51412927	2.159954589	16.37974935	1.053413063
89.5	33.12924965	6.790583306	48.36879275	3.511714267	15.87307374	2.176851077	45.55656046	5.105203981	29.46273078	2.234531207	16.18853159	1.155552541
90	32.73557269	5.469295489	47.85854766	2.670680089	15.02951751	2.290280624	46.13867158	4.762404239	28.95700714	1.601463317	16.57605633	1.077256303
90.5	32.9350654	4.722775745	47.9724489	2.696705314	15.63741882	1.537822126	47.26098951	5.045100734	28.63073211	2.141079814	15.79600837	1.725781405
